YEAR,EVENT,LINK,IMAGE
2020,2020-n1-Single-Function-Open-Mic,https://github.com/Chicago-R-User-Group/2020-n1-Single-Function-Open-Mic,images/function_mic.png
2019,2019-nA-Rocker-K8s,https://github.com/Chicago-R-User-Group/2019-nA-Rocker-K8s,images/rocker_docker.png
2019,2019-n8-Single-Package-HacktoberFest,https://github.com/Chicago-R-User-Group/2019-n8-Single-Package-HacktoberFest,images/r_hacking.png
2019,2019-n7-R_StackOverflow-Workshop,https://github.com/Chicago-R-User-Group/2019-n7-R_StackOverflow-Workshop,images/r_so_workshop.png
2019,2019-n6-useR-2019-bRew-and-View,https://github.com/Chicago-R-User-Group/2019-n6-useR-2019-bRew-and-View,images/useR_2019.png
2019,2019-n5-Joint-Meetup-Chicago-Women-In-Big-Data,https://github.com/Chicago-R-User-Group/2019-n5-Joint-Meetup-Chicago-Women-In-Big-Data,images/women_big_data.png
2019,2019-n4-Pre-R-Finance-Talks-and-an-Open-Mic,https://github.com/Chicago-R-User-Group/2019-n4-Pre-R-Finance-Talks-and-an-Open-Mic,images/open_mic.png
2019,2019-n3-Big-Data-and-Biking,https://github.com/Chicago-R-User-Group/2019-n3-Big-Data-and-Biking,images/BikeLaneUprising.png
2019,2019-n2-Hardware-for-Data-Science,https://github.com/Chicago-R-User-Group/2019-n2-Hardware-for-Data-Science,images/Hardware_DataScience.png
2019,2019-n1-Single-Fct-Lightning-Talks,https://github.com/Chicago-R-User-Group/2019-n1-Single-Function-Lightning-Talks,images/function.png
2018,2018-n9-bRew-and-View,https://github.com/Chicago-R-User-Group/2018-n9-bRew-and-View,images/brew_view.png
2018,2018-n8-Hacktoberfest,https://github.com/Chicago-R-User-Group/2018-n8-Hacktoberfest,images/hackathon.png
2018,2018-n7-CRUG-PUG,https://github.com/Chicago-R-User-Group/2018-n7-CRUG-PUG,images/r_pg.png
2018,2018-n6-CRUG-ChiPy,https://github.com/Chicago-R-User-Group/2018-n6-CRUG-ChiPy,images/r_python.png
2018,2018-n5--Pre-RFinance-meetup,https://github.com/Chicago-R-User-Group/2018-n5--Pre-RFinance-meetup,images/r_finance.png
2018,2018-n4-R-from-the-Beginning,https://github.com/Chicago-R-User-Group/2018-n4-R-from-the-Beginning,images/from_begin.png
2018,2018-n3-Double-Feature,https://github.com/Chicago-R-User-Group/2018-n3-Double-Feature,images/double_feature.png
2018,2018-n2-Data-Robot-Talks,https://github.com/Chicago-R-User-Group/2018-n2,images/data_robot.png
2018,2018-n1-Happy-New-YeaR,https://github.com/Chicago-R-User-Group/2018-n1-Happy-New-YeaR,images/new_year.png
2017,2017-n7-Machine-Learning,https://github.com/Chicago-R-User-Group/2017-n7-Machine-Learning-High-Frequency-Time-Series,images/machine_learning.png
2017,2017-n6-SatuRday-short-talks,https://github.com/Chicago-R-User-Group/2017-n6-meetup-SatuRday-short-talks,images/sat_talks.png
2017,2017-n5-Meetup-SolarFlares,https://github.com/Chicago-R-User-Group/2017-n5-Meetup-SolarFlares,images/solar_flares.png
2017,2017-n4-Syberia,https://github.com/Chicago-R-User-Group/2017-n4-Meetup-Syberia,images/syberia.png
2017,2017-n3-Meetup-RStudio,https://github.com/Chicago-R-User-Group/2017-n3-Meetup-RStudio,images/r_studio.png
2017,2017-n2-Predictive-Financial,https://github.com/Chicago-R-User-Group/2017-n2-Meetup,images/predict_r.png
2017,2017-n1-Meetup-New-Year-New-to-R,https://github.com/Chicago-R-User-Group/2017-n1-Meetup,images/new_year.png
2016,2016 Meetups,(https://github.com/Chicago-R-User-Group/2016-Meetups,images/meetups_year.png
2015,2015 Meetups,,images/meetups_year.png
2014,2014 Meetups,https://github.com/Chicago-R-User-Group/2014-Meetups,images/meetups_year.png
2013,2013 Meetups,https://github.com/Chicago-R-User-Group/2013-Meetups,images/meetups_year.png
2012,2012 Meetups,https://github.com/Chicago-R-User-Group/2012-Meetups,images/meetups_year.png
2011,2011 Meetups,https://github.com/Chicago-R-User-Group/2011-Meetups,images/meetups_year.png
