"Member ID","Location","Joined Group on","Last visited group on","Last Attended","Total RSVPs","RSVPed Yes","RSVPed Maybe","RSVPed No","Meetups attended","No shows","Intro","Photo","Assistant Organizer","Mailing List","R Experience"
1,"Indianapolis, IN","October 1, 2018","October 1, 2018","",0,0,0,0,0,0,"No","No","No","Yes",""
2,"Chicago, IL","April 3, 2015","February 19, 2020","",0,0,0,0,0,0,"No","Yes","No","Yes",""
3,"Chicago, IL","January 29, 2015","January 5, 2019","July 10, 2016",1,1,0,0,1,0,"No","Yes","No","Yes",""
4,"Chicago, IL","April 2, 2015","November 4, 2021","July 10, 2016",3,3,0,0,3,0,"No","Yes","No","Yes",""
5,"Karachi","July 25, 2016","January 22, 2019","",0,0,0,0,0,0,"No","No","No","Yes",""
6,"Chicago, IL","September 3, 2013","November 20, 2013","September 11, 2013",1,1,0,0,1,0,"No","Yes","No","Yes",""
7,"Chicago, IL","January 22, 2019","January 22, 2019","January 23, 2019",1,1,0,0,1,0,"No","Yes","No","Yes",""
8,"Chicago, IL","October 28, 2018","June 11, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
9,"Chicago, IL","March 24, 2020","March 24, 2020","",0,0,0,0,0,0,"No","No","No","Yes",""
10,"Plano, TX","August 23, 2019","August 23, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
11,"Chicago, IL","May 23, 2018","May 23, 2018","May 30, 2018",1,1,0,0,1,0,"No","No","No","Yes",""
12,"Chicago, IL","October 15, 2018","February 15, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
13,"Chicago, IL","January 1, 2013","January 21, 2013","February 7, 2013",1,1,0,0,1,0,"No","Yes","No","Yes",""
14,"Chicago, IL","June 3, 2015","June 3, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
15,"Chicago, IL","September 5, 2012","July 13, 2016","August 3, 2016",1,1,0,0,1,0,"No","Yes","No","Yes",""
16,"Chicago, IL","April 10, 2013","April 10, 2013","",0,0,0,0,0,0,"Yes","No","No","Yes","approximately 6 years."
17,"Milwaukee, WI","June 25, 2015","June 14, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
18,"Rotonda West, FL","April 10, 2015","April 10, 2015","",0,0,0,0,0,0,"No","Yes","No","Yes",""
19,"Northbrook, IL","April 23, 2015","July 18, 2017","September 28, 2016",5,5,0,0,5,0,"No","Yes","No","Yes",""
20,"Chicago, IL","October 28, 2015","November 20, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
21,"Chicago, IL","September 22, 2016","May 11, 2019","February 27, 2019",3,1,0,2,1,0,"No","No","No","Yes",""
22,"Chicago, IL","February 4, 2020","February 18, 2020","",1,0,0,1,0,0,"No","Yes","No","Yes",""
23,"Chicago, IL","March 1, 2014","April 28, 2014","",0,0,0,0,0,0,"Yes","Yes","No","Yes","1 year"
24,"Chicago, IL","July 18, 2018","June 18, 2019","October 16, 2018",2,2,0,0,2,0,"No","Yes","No","Yes",""
25,"Springfield, MO","July 22, 2019","February 3, 2020","February 19, 2020",4,4,0,0,4,0,"No","Yes","No","Yes",""
26,"Chicago, IL","November 10, 2017","February 6, 2020","November 16, 2019",1,1,0,0,1,0,"No","No","No","Yes",""
27,"Chicago, IL","February 13, 2020","July 9, 2021","",0,0,0,0,0,0,"No","Yes","No","Yes",""
28,"Chicago, IL","November 6, 2018","November 6, 2018","November 14, 2018",1,1,0,0,1,0,"No","No","No","Yes",""
29,"Portland, OR","June 5, 2017","June 5, 2017","July 15, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
30,"Bloomington, IN","February 19, 2015","June 18, 2017","July 15, 2017",4,4,0,0,4,0,"No","Yes","No","Yes",""
31,"Chicago, IL","October 13, 2017","October 13, 2017","October 14, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
32,"Chicago, IL","November 10, 2018","November 10, 2018","November 14, 2018",1,1,0,0,1,0,"No","Yes","No","Yes",""
33,"Chicago, IL","June 22, 2018","June 22, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
34,"Chicago, IL","August 28, 2017","September 13, 2017","September 7, 2017",1,1,0,0,1,0,"No","Yes","No","Yes",""
35,"Chicago, IL","April 16, 2018","April 16, 2018","",0,0,0,0,0,0,"No","Yes","No","Yes",""
36,"Chicago, IL","December 28, 2014","March 28, 2018","March 12, 2015",2,1,0,1,1,0,"No","No","No","Yes",""
37,"Chicago, IL","August 8, 2016","January 25, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
38,"Chicago, IL","September 15, 2016","July 13, 2019","July 30, 2019",3,3,0,0,3,0,"No","Yes","No","Yes",""
39,"Chicago, IL","April 17, 2019","April 17, 2019","",0,0,0,0,0,0,"No","No","No","Yes",""
40,"Santa Monica, CA","September 2, 2019","October 9, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
41,"Chicago, IL","October 16, 2019","October 16, 2019","",0,0,0,0,0,0,"No","Yes","No","Yes",""
42,"Chicago, IL","June 18, 2017","June 18, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
43,"Chicago, IL","January 27, 2013","September 1, 2017","May 1, 2013",4,1,0,3,1,0,"No","Yes","No","Digest",""
44,"Schaumburg, IL","July 15, 2017","July 15, 2017","",0,0,0,0,0,0,"No","Yes","No","Yes",""
